ID,カテゴリ,問題,正答,誤答1,誤答2,誤答3,解説
370,AI倫理・AIガバナンス,SHAPの理論的基盤として最も適切なものはどれか。,協力ゲーム理論におけるシャープレイ値,主成分分析による分散最大化,距離に基づくクラスタリング,勾配消失を防ぐ最適化理論,SHAPは協力ゲーム理論におけるシャープレイ値を利用し、各特徴量がモデルの予測にどの程度貢献したかを評価する説明手法である。ゲーム理論では複数の参加者が協力して得た成果を、それぞれの貢献度に応じて公平に配分する方法としてシャープレイ値が定義される。SHAPでは特徴量を参加者として考え、特徴量のさまざまな組み合わせを考慮して予測への寄与を求める。PCAやクラスタリングはデータ分析手法であり、SHAPの理論的基盤ではない。
371,AIの社会実装に向けて,本番運用を続ける中で、入力データの傾向や利用環境が変化し、AIの予測精度が徐々に低下する現象として最も適切なものはどれか。,モデルドリフト,過学習,データリーケージ,未学習,モデルドリフトは、本番運用中に時間の経過や環境の変化によって、モデルが学習したときの前提と実際のデータの状態がずれ、性能が低下する現象である。入力データの分布が変わるデータドリフトや、入力と正解の関係そのものが変化するコンセプトドリフトなどがある。過学習は訓練データに過度に適合して未知データへの性能が低下する問題であり、必ずしも時間経過を前提としない。本番環境では継続的なモニタリングを行い、必要に応じて再学習やモデル更新を行うことが重要となる。
372,AIの社会実装に向けて,PoCでは技術的な有効性を確認できたにもかかわらず、コストや業務体制などの問題によって本番導入・事業化へ進めない状態は一般に何と呼ばれるか。,PoCの死の谷,AIの冬,シンギュラリティ,モデルドリフト,PoCの死の谷は、PoCによる技術検証には成功したものの、本番導入や事業化へ移行できない状態を指す。AIプロジェクトでは、技術的に高い精度を出せても、費用対効果、データ整備、既存業務との連携、運用体制、責任分担、ユーザー受容性などの課題によって導入が止まることがある。そのためPoCでは技術性能だけでなく、本番環境で継続的に利用できるかという観点も早期に検討することが重要である。
373,AIに関する法律と契約,AI開発契約において、データやAIの特性を踏まえて特に明確にしておくべき事項として最も適切なものはどれか。,データ利用範囲と責任分界,予測精度の完全保証,学習時間の固定,特定GPUの使用保証,AI開発契約では、学習に使用するデータを誰がどの目的・範囲で利用できるか、成果物や学習済みモデルをどのように扱うか、問題が発生した際に誰がどの責任を負うかなどを明確にすることが重要である。AIはデータや学習条件によって結果が変化し、一定の精度を必ず達成できるとは限らない。そのため、技術性能だけを一律に保証するよりも、データの権利関係、利用条件、知的財産、秘密保持、責任分担などを契約上整理することが重要となる。
377,人工知能をめぐる動向,AlphaGoの構成技術として最も適切なものはどれか。,モンテカルロ木探索と深層ニューラルネットワーク,ミニマックス法と手作業の評価関数のみ,A*探索と畳み込みニューラルネットワーク,教師あり学習のみで学習した方策ネットワーク,AlphaGoは、モンテカルロ木探索（MCTS）と深層ニューラルネットワークを組み合わせた囲碁AIである。方策ネットワークは現在の局面から有望な着手を予測し、価値ネットワークは局面から最終的な勝敗の見込みを評価する。これらの情報をMCTSに利用することで、膨大な候補手の中から有望な手を効率的に探索した。初期のAlphaGoでは人間の棋譜を用いた教師あり学習に加え、自己対局による強化学習も利用されているため、教師あり学習だけで構成されたシステムではない。
378,機械学習の概要,標準化の目的として最も適切なものはどれか。,特徴量のスケールを揃えて学習を安定化させる,特徴量を0から1の範囲に必ず収める,外れ値を自動的に除去する,不要な特徴量を削除して次元数を減らす,標準化は、一般に各特徴量から平均を引き、標準偏差で割ることで平均0・分散1となるように変換する前処理である。特徴量ごとに値の尺度が大きく異なると、距離計算や勾配に基づく最適化で特定の特徴量の影響が過度に大きくなることがあるため、スケールを揃えることで学習を安定させやすくなる。値を0から1の範囲に収める処理はMin-Max正規化であり、標準化とは異なる。また、標準化自体に外れ値除去や特徴量削減の役割はない。
380,ディープラーニングの要素技術,CNNが画像認識で有効な理由として最も適切なものはどれか。,局所特徴を畳み込みと重み共有によって効率的に抽出できる,画像内の各位置に異なる重みを割り当てることで位置固有の特徴だけを学習できる,再帰的な隠れ状態を用いて画像を順番に処理できる,画像全体を最初に一つの特徴量へ圧縮してから分類できる,CNN（Convolutional Neural Network）は、画像の局所領域にフィルタを適用する畳み込みによって、エッジや模様、形状などの特徴を抽出する。さらに同じフィルタを画像内の複数位置で共有する重み共有によって、全結合ネットワークと比べてパラメータ数を抑えながら空間的な特徴を学習できる。一般に浅い層では低レベルな特徴、深い層ではより抽象的な特徴を学習する。再帰的な隠れ状態を用いる処理はRNN系の特徴であり、CNNの本質ではない。
382,機械学習の概要,病気の見逃しをできるだけ減らすために分類モデルの評価指標を選ぶ場合、最も重視すべきものはどれか。,Recall（再現率）,Precision（適合率）,Specificity（特異度）,Accuracy（正解率）,Recall（再現率）は、実際に陽性であるデータのうち、モデルが正しく陽性と判定できた割合を表す。TPを真陽性、FNを偽陰性とすると、RecallはTP÷（TP＋FN）で求められる。病気であるにもかかわらず陰性と判定される見逃しはFalse Negativeに相当するため、Recallを高くすることが見逃しの低減につながる。Precisionは陽性と予測したもののうち実際に陽性だった割合、Specificityは実際に陰性のものを正しく陰性と判定した割合、Accuracyは全体に占める正解率である。
384,AI倫理・AIガバナンス,AIが性別や年齢などの特定属性を持つ個人や集団に対して不当に不利な判断を行う問題として最も適切なものはどれか。,Fairness（公平性）の問題,Explainability（説明可能性）の問題,Robustness（頑健性）の問題,Privacy（プライバシー）の問題,Fairness（公平性）は、AIの判断が性別、年齢、人種などの属性によって特定の個人や集団に不当な差別や不利益を与えないようにする考え方である。学習データに過去の社会的偏りが含まれている場合、そのバイアスをモデルが学習してしまう可能性がある。Explainabilityは判断理由を説明できる性質、Robustnessは入力変化や攻撃などに対する頑健性、Privacyは個人情報の保護に関する概念であり、それぞれFairnessとは異なる。
387,AIの社会実装に向けて,PoCでは技術的な有効性を確認できたにもかかわらず、コストや業務体制などの問題によって本番導入・事業化へ進めない状態は何と呼ばれるか。,PoCの死の谷,AIの冬,シンギュラリティ,モデルドリフト,PoCの死の谷は、PoCによる技術検証には成功したものの、本番導入や事業化へ移行できない状態を指す。AIプロジェクトでは、高いモデル精度を確認できても、費用対効果、業務プロセスとの連携、データ整備、運用体制、保守コスト、責任分担などの課題によって導入が止まることがある。AIの冬はAI研究への期待や投資が低迷した時期、シンギュラリティは技術的特異点、モデルドリフトは運用中の環境変化などによる性能劣化を指す。
388,AIの社会実装に向けて,MLOpsの目的として最も適切なものはどれか。,機械学習モデルの開発・デプロイ・監視・更新を継続的に管理する,モデルの学習工程だけを自動化する,モデルを一度デプロイした後は変更せず固定する,本番環境の予測結果を保存するだけで性能は監視しない,MLOpsは、Machine LearningとDevOpsを組み合わせた考え方であり、機械学習モデルの開発、テスト、デプロイ、本番監視、データやモデルのバージョン管理、再学習、再デプロイなどのライフサイクルを継続的に管理する。機械学習では本番環境のデータ分布が時間とともに変化し、性能が低下する可能性があるため、一度モデルを公開して終わりではない。運用中の状態を監視し、必要に応じて更新できる仕組みを整えることが重要となる。
389,AIに関する法律と契約,AI開発やデータ利用に関する契約で特に明確にしておくべき事項として最も適切なものはどれか。,データ利用範囲と責任分界,モデルの予測精度を完全に保証すること,使用する計算機の性能を契約で固定すること,学習済みモデルの権利を必ず一方だけに帰属させること,AI開発契約では、データを誰がどの目的・範囲で利用できるか、第三者提供や再利用が可能か、成果物や知的財産をどう扱うか、問題が生じた場合にどの当事者がどの責任を負うかなどを明確にすることが重要である。AIはデータや学習条件によって結果が変化し、一定の性能を必ず保証できるとは限らないため、性能保証だけを契約の中心にするのは適切ではない。法的リスクや権利関係、責任分担を整理することが重要となる。
391,人工知能をめぐる動向,第3次AIブームの発展を支えた主な要因として最も適切なものはどれか。,ビッグデータ・計算資源の向上・ディープラーニング,知識ベース・推論エンジン・エキスパートシステム,探索アルゴリズム・ルールベース・記号処理,手作業による特徴量設計・線形モデル・小規模データ,第3次AIブームは、大量のデータを利用できるようになったこと、GPUなどの計算資源が大幅に向上したこと、そしてディープラーニングが発展したことによって加速した。特に画像認識や自然言語処理などで深層学習が高い性能を示したことがAI普及の大きな要因となった。知識ベースやエキスパートシステムは主に第2次AIブームを代表する技術であり、第3次AIブームの中心とは異なる。
392,機械学習の概要,標準化を行う主な目的として最も適切なものはどれか。,特徴量間のスケールを揃えて学習を安定させる,各特徴量を必ず0から1の範囲に変換する,外れ値を自動的に除去する,特徴量数を減らしてモデルを単純化する,標準化は、一般に特徴量から平均を引き標準偏差で割ることで、平均0・分散1となるようにスケールを変換する前処理である。特徴量間で値の尺度が大きく異なる場合、距離計算や勾配に基づく最適化が一部の特徴量に強く影響される可能性があるため、スケールを揃えることで学習を安定化しやすくなる。0から1の範囲への変換はMin-Max正規化であり、標準化とは異なる。
393,ディープラーニングの要素技術,Transformerでは、入力系列内の各トークン間の関係を（　）に基づいて計算することで長距離の依存関係を扱う。,Self-Attention,再帰的な隠れ状態,局所的な畳み込みフィルタ,最大プーリング,Self-Attentionは、系列内の各トークンが他のトークンとどの程度関連しているかをAttention Weightとして計算し、その重みに基づいて情報を集約する仕組みである。RNNのように過去の隠れ状態を逐次的に引き継ぐ必要がなく、離れた位置にあるトークン間の関係も直接扱える。また、学習時に系列を並列処理しやすいこともTransformerの大きな特徴である。CNNの畳み込みは主に局所的な情報を扱い、Poolingは特徴量を集約する処理であり、Self-Attentionとは役割が異なる。
394,ディープラーニングの要素技術,CNNにおいて畳み込みフィルタは、入力画像から主に（　）特徴を抽出する役割を持つ。,局所的な空間,時系列上の長期的な,確率分布全体の,論理規則に基づく,CNNでは、小さなフィルタを画像の局所領域に適用する畳み込みによって、エッジ、線、模様などの局所的な空間特徴を抽出する。学習が進み層が深くなると、浅い層で得た局所特徴を組み合わせて、物体の部品や物体全体など、より抽象的な特徴を表現できるようになる。同じフィルタを画像内の複数位置で共有するため、位置ごとに個別の重みを持つ全結合ネットワークより効率的に画像の空間構造を扱える。
395,ディープラーニングの要素技術,GANでは、生成器と識別器が互いに相手を上回ろうとする（　）学習を行う。,敵対的,再構成,自己回帰的,教師あり分類,GAN（Generative Adversarial Network）は、生成器（Generator）と識別器（Discriminator）を敵対的に学習させる生成モデルである。生成器は本物らしいデータを生成して識別器をだますことを目指し、識別器は実データと生成データを正しく見分けることを目指す。この競争を繰り返すことで、生成器は実データの分布に近いデータを生成できるようになる。入力データを復元する再構成学習はオートエンコーダ系、自己回帰的学習は過去の要素から次の要素を予測するモデルなどで利用される考え方である。
396,ディープラーニングの要素技術,VAEでは、エンコーダが潜在変数を平均と分散などのパラメータで表現し、（　）分布として扱う。,確率,固定された一点,クラスタ中心だけからなる,教師ラベルに対応した離散,VAE（Variational Autoencoder：変分オートエンコーダ）は、潜在変数を固定された一点として扱う通常のオートエンコーダとは異なり、平均と分散などによって表される確率分布として扱う。エンコーダが分布のパラメータを推定し、その分布から潜在変数をサンプリングしてデコーダへ入力する。学習では再構成誤差に加え、潜在分布を標準正規分布などの事前分布へ近づけるKLダイバージェンスも利用する。この仕組みによって連続的な潜在空間を形成し、新しいデータを生成できる。
397,機械学習の概要,モデルが学習データに過度に適合し、未知データに対する性能が低下する現象は（　）と呼ばれる。,過学習,未学習,モデルドリフト,データリーケージ,過学習（Overfitting）は、モデルが訓練データ中の本質的な規則だけでなく、ノイズや偶然のパターンまで学習してしまい、未知データへの汎化性能が低下する状態である。訓練精度が高い一方で検証・テスト精度が低い場合に疑われる。未学習は訓練データにも十分適合できていない状態、モデルドリフトは運用環境の変化に伴う性能低下、データリーケージは本来利用できない情報が学習に混入する問題である。
398,機械学習の概要,少数クラスの見逃しをできるだけ減らしたい分類問題で、特に重視すべき評価指標は（　）である。,Recall（再現率）,Precision（適合率）,Specificity（特異度）,Accuracy（正解率）,Recallは、実際に正例であるデータのうち、モデルが正しく正例として検出できた割合を表す。少数クラスを見逃すFalse Negativeを減らしたい場合にはRecallを重視する。Precisionは正例と予測したデータのうち実際に正例だった割合であり、誤検出を減らす場合に重視される。クラス不均衡がある場合、Accuracyは多数クラスだけを予測しても高い値になる可能性があるため、Recallなどと併せて評価することが重要である。
399,機械学習の概要,特徴量ごとの尺度の違いによる影響を抑えるため、平均0・分散1となるように値を変換する処理は（　）と呼ばれる。,標準化,Min-Max正規化,正則化,主成分分析,標準化は、一般に各特徴量から平均を引き標準偏差で割ることで、平均0・分散1となるようにスケールを変換する前処理である。特徴量間の尺度を揃えることで、距離計算や勾配法などが一部の特徴量の大きさに過度に左右されることを防ぎやすくなる。Min-Max正規化は通常、値を0から1など一定の範囲に変換する処理である。正則化は過学習を抑える方法、主成分分析は次元削減手法であり、目的が異なる。
400,機械学習の概要,モデルの汎化性能をより安定して評価するため、データを複数の部分に分割し、評価に使う部分を入れ替えながら学習と評価を繰り返す手法は（　）である。,交差検証,ホールドアウト法,ブートストラップ法,正則化,交差検証（Cross Validation）は、データを複数の部分に分割し、学習用と検証用の役割を入れ替えながら複数回モデルを評価する方法である。代表的なk分割交差検証では、データをk個に分け、1つを検証用、残りを学習用としてk回評価する。一度だけ分割するホールドアウト法より、特定の分割による偶然の影響を抑えて性能を評価しやすい。ブートストラップ法は重複を許してデータを再抽出する方法であり、交差検証とは異なる。
401,AI倫理・AIガバナンス,AIが性別や年齢などの特定属性によって不公平な判断を行う問題は（　）と呼ばれる。,Fairness（公平性）の問題,Explainability（説明可能性）の問題,Robustness（頑健性）の問題,Privacy（プライバシー）の問題,Fairnessは、AIの判断が性別、年齢、人種などの属性によって特定の個人や集団に不当な不利益を与えないようにする考え方である。学習データに含まれる偏りや、目的関数・特徴量・運用方法などによって不公平な判断が生じることがある。Explainabilityは判断根拠を説明できる性質、Robustnessは入力変化や攻撃への耐性、Privacyは個人情報保護に関する概念である。
402,AI倫理・AIガバナンス,AIの予測や判断について、その理由を人間が理解できるようにするための技術や考え方は（　）と呼ばれる。,XAI（Explainable AI）,Federated Learning,PETs（Privacy Enhancing Technologies）,MLOps,XAI（Explainable AI）は、AIがなぜ特定の予測や判断を行ったのかを人間が理解できるようにする技術や考え方である。特に深層学習など複雑なモデルでは内部の判断過程がブラックボックス化しやすいため、透明性、説明責任、信頼性の確保に重要となる。代表的な説明手法にはLIMEやSHAPなどがある。Federated Learningは分散学習、PETsはプライバシー保護技術、MLOpsは機械学習システムの開発・運用管理に関する考え方である。
403,AI倫理・AIガバナンス,SHAPは（　）理論に基づくシャープレイ値を用いて、各特徴量の予測への寄与を計算する。,協力ゲーム,情報,ベイズ決定,最適輸送,SHAP（SHapley Additive exPlanations）は、協力ゲーム理論におけるシャープレイ値を機械学習モデルの説明へ応用した手法である。協力ゲーム理論では、複数の参加者が協力して得た成果に対し、各参加者がどの程度貢献したかを公平に配分する方法としてシャープレイ値が定義される。SHAPでは特徴量をゲームの参加者、モデルの予測を成果とみなし、特徴量のさまざまな組み合わせを考慮して各特徴量の寄与度を求める。このため、個々の予測についてどの特徴量がプラスまたはマイナスに影響したかを説明できる。
404,AIの社会実装に向けて,本番環境で時間の経過とともに入力データの傾向や利用環境が変化し、モデルの予測性能が低下する現象は（　）と呼ばれる。,モデルドリフト,過学習,データリーケージ,未学習,モデルドリフトは、本番運用中に入力データの分布や入力と正解の関係が学習時から変化し、モデルの性能が低下する現象を指す。入力データの分布が変化する場合はデータドリフト、入力と正解の関係が変化する場合はコンセプトドリフトなどと呼ばれる。過学習は訓練データに過度に適合して未知データへの汎化性能が低下する問題であり、時間経過による環境変化とは異なる。本番運用では性能やデータ分布を継続的に監視し、必要に応じて再学習やモデル更新を行うことが重要となる。
405,AIの社会実装に向けて,PoCでは技術的な有効性を確認できたにもかかわらず、コストや業務体制などの問題によって本番導入や事業化へ進めない状態は（　）と呼ばれる。,PoCの死の谷,AIの冬,モデルドリフト,シンギュラリティ,PoCの死の谷は、PoCによる技術検証には成功したものの、本番導入や事業化に移行できない状態を指す。AIプロジェクトでは、高い精度を確認できても、費用対効果、データ整備、既存システムとの連携、運用体制、保守コスト、責任分担などの課題によって実用化が止まることがある。AIの冬はAI研究への期待や投資が低迷した時期、モデルドリフトは運用中の環境変化による性能低下、シンギュラリティは技術的特異点を指す。
406,AIの社会実装に向けて,機械学習モデルの開発、デプロイ、監視、再学習などを継続的に管理する仕組みは（　）である。,MLOps,DevOps,DataOps,ModelOps,MLOpsはMachine LearningとDevOpsを組み合わせた考え方であり、機械学習モデルの開発、テスト、デプロイ、本番監視、再学習、再デプロイなどのライフサイクル全体を継続的に管理する。DevOpsはソフトウェア開発と運用の連携を重視する考え方、DataOpsはデータパイプラインやデータ運用の効率化に重点を置く考え方である。ModelOpsはモデル運用全般を指す場合があるが、機械学習モデルの開発から運用までを統合的に扱う代表的な用語はMLOpsである。
407,AIに関する法律と契約,AI開発契約では、データ利用範囲と（　）を明確にすることが重要である。,責任分界,予測精度の完全保証,モデルの学習時間,使用するGPUの種類,AI開発契約では、学習データを誰がどの目的・範囲で利用できるかに加え、問題や損害が発生した場合に開発者と利用者のどちらがどの範囲で責任を負うかという責任分界を明確にすることが重要である。また、成果物や知的財産、秘密保持、データの再利用条件なども整理する必要がある。AIは学習データや条件によって性能が変動するため、常に一定の精度を保証できるとは限らない。
408,AIに関する法律と契約,病歴など、本人に対する不当な差別や偏見などにつながるおそれがある情報は（　）個人情報に分類される。,要配慮,一般,匿名加工,仮名加工,要配慮個人情報は、本人に対する不当な差別や偏見などの不利益が生じないよう、取扱いに特に配慮が必要とされる個人情報である。病歴のほか、人種、信条、社会的身分、犯罪の経歴、犯罪により害を被った事実などが該当する。一般の個人情報より慎重な取扱いが求められ、原則として取得には本人の同意が必要となる。匿名加工情報や仮名加工情報は、個人情報を一定の方法で加工した情報であり、要配慮個人情報とは分類の基準が異なる。
409,人工知能とは,フレーム問題は、現実世界に存在する膨大な情報の中から何を考慮すべきかという（　）を選択する困難さを指す。,関連情報,記号と現実世界の意味,正解ラベル,最適な学習率,フレーム問題は、現実世界である行動や変化が起きた際に、膨大な事柄の中から何が変化し、何が変化せず、どの情報を考慮すべきかを効率的に判断する難しさを指す。すべての可能性を逐一考慮すると計算量が膨大になるため、AIが常識的に重要な情報だけを選択することが課題となる。記号と現実世界の意味を結びつける問題は記号接地問題であり、フレーム問題とは異なる。
410,人工知能をめぐる動向,第3次AIブームは、ビッグデータやGPUなどの計算資源の発展に加え、（　）の進展によって大きく加速した。,深層学習,エキスパートシステム,知識ベース,記号処理,第3次AIブームでは、インターネットなどを通じて大量のデータを利用できるようになったこと、GPUなどの計算資源が向上したこと、そしてディープラーニングが発展したことが大きな要因となった。特に画像認識や自然言語処理で深層学習が高い性能を示したことでAIの実用化が進んだ。エキスパートシステムや知識ベースは主に第2次AIブームを代表する技術であり、第3次AIブームの中心とは異なる。
411,人工知能をめぐる動向,AlphaGoは、モンテカルロ木探索（MCTS）と（　）を組み合わせたシステムである。,深層ニューラルネットワーク,決定木,線形回帰,クラスタリング,AlphaGoは、モンテカルロ木探索（MCTS）と深層ニューラルネットワークを組み合わせた囲碁AIである。方策ネットワークは現在の局面から有望な着手を推定し、価値ネットワークはその局面から最終的に勝つ可能性を評価する。これらのニューラルネットワークの出力をMCTSに利用することで、膨大な候補手の中から有望な手を効率的に探索した。単純な決定木や線形回帰、クラスタリングだけで構成されたシステムではない。
412,機械学習の概要,ROC曲線の横軸に用いられる指標は（　）である。,偽陽性率（FPR）,真陽性率（TPR）,適合率（Precision）,正解率（Accuracy）,ROC曲線は、分類閾値を変化させたときの真陽性率（TPR）と偽陽性率（FPR）の関係を表す。横軸が偽陽性率、縦軸が真陽性率である。FPRは実際には陰性であるデータのうち誤って陽性と判定した割合、TPRは実際に陽性であるデータのうち正しく陽性と判定した割合を表す。ROC曲線の下の面積であるAUCは、分類モデルの識別性能を要約する指標として利用される。
413,機械学習の概要,一般的な標準化では、特徴量を平均0・分散（　）となるように変換する。,1,0,標準偏差と同じ値,元の分散のまま,標準化は、一般に各特徴量から平均を引き、標準偏差で割ることで平均0・分散1となるように変換する前処理である。特徴量間の尺度を揃えることで、距離計算や勾配法などが特定の特徴量の大きさに過度に影響されることを防ぎやすくなる。なお、値を0から1の範囲に変換する処理はMin-Max正規化であり、標準化とは異なる。
414,ディープラーニングの要素技術,Transformerでは再帰構造を持たないため、入力系列中のトークンの順序情報を付与する仕組みとして（　）が用いられる。,Positional Encoding,Batch Normalization,Dropout,Residual Connection,TransformerのSelf-Attentionは、トークン同士の関係を計算できる一方で、そのままでは系列中の順序を表す情報を持たない。このため、各トークンが何番目の位置にあるかを表現するPositional Encodingを入力表現に加える。元のTransformerでは正弦波・余弦波を用いた位置エンコーディングが採用された。Batch Normalizationは正規化、Dropoutは過学習抑制、Residual Connectionは勾配伝播を助ける仕組みであり、順序情報を直接付与するものではない。
415,ディープラーニングの要素技術,CNNで特徴マップの空間サイズを小さくしながら代表的な特徴を残す処理は（　）である。,Pooling,Embedding,Attention,One-hot Encoding,Poolingは、CNNの特徴マップに対して一定領域ごとの値を集約し、縦横のサイズを縮小する処理である。代表的なMax Poolingでは領域内の最大値、Average Poolingでは平均値を採用する。空間サイズを縮小することで計算量を減らし、位置の小さな変化に対する頑健性を高める効果が期待できる。ただし、Poolingが必ず過学習を防ぐわけではなく、重要な情報まで失う可能性もある。
416,ディープラーニングの要素技術,学習時に一部のニューロンをランダムに無効化することで過学習を抑える手法は（　）である。,Dropout,L2正則化,Batch Normalization,Early Stopping,Dropoutは、ニューラルネットワークの学習時に一定確率で一部のユニットをランダムに無効化する正則化手法である。特定のユニット同士が過度に依存することを抑え、複数の異なるサブネットワークを学習しているような効果を得ることで汎化性能の向上を狙う。L2正則化は重みの大きさにペナルティを加える方法、Batch Normalizationは中間表現を正規化する手法、Early Stoppingは検証性能が悪化した時点で学習を止める方法であり、それぞれ仕組みが異なる。
419,ディープラーニングの要素技術,画像生成において、データに段階的にノイズを加える過程を学習し、その逆過程としてノイズから徐々にデータを生成するモデルは（　）である。,Diffusion Model,GAN,VAE,Autoregressive Model,Diffusion Modelは、実データに段階的にノイズを加えて最終的にほぼランダムなノイズへ変化させる拡散過程と、その逆向きにノイズを除去してデータを復元する逆拡散過程を利用する生成モデルである。学習ではノイズ除去過程をモデル化し、生成時にはランダムノイズから段階的に画像などを生成する。GANは生成器と識別器の敵対的学習、VAEは確率的潜在変数を利用する生成モデル、Autoregressive Modelは過去の要素から次の要素を順次生成するモデルであり、生成方法が異なる。
420,機械学習の概要,教師あり学習では、一般に入力データと（　）の組を用いてモデルを学習する。,正解ラベル,クラスタ中心,潜在変数,生成ノイズ,教師あり学習は、入力データとそれに対応する正解ラベルの組を用いて、入力から正解を予測できるようにモデルを学習する方法である。分類ではクラスラベル、回帰では連続値の正解が教師情報として与えられる。これに対して教師なし学習では正解ラベルを与えず、データの構造やパターンを学習する。k-meansによるクラスタリングなどが教師なし学習の代表例である。
421,機械学習の概要,正解ラベルを用いず、データの類似性に基づいて複数のグループへ分ける教師なし学習の代表的手法は（　）である。,k-means,ロジスティック回帰,SVM,線形回帰,k-meansは、正解ラベルを利用せず、特徴量空間上でデータをk個のクラスタに分割する教師なし学習の代表的手法である。各データを最も近いクラスタ中心へ割り当て、その後クラスタ中心を更新する処理を繰り返す。ロジスティック回帰、SVM、線形回帰は一般に正解ラベルや目的変数を用いて学習する教師あり学習の手法であり、k-meansとは異なる。
424,AI倫理・AIガバナンス,AIの判断が性別や年齢など特定の属性を持つ個人や集団に対して不当に不利になる問題は（　）である。,Fairness（公平性）の問題,Explainability（説明可能性）の問題,Robustness（頑健性）の問題,Privacy（プライバシー）の問題,Fairnessは、AIの予測や意思決定が特定の属性によって不当な差別や不利益を生じさせないようにする考え方である。学習データに過去の偏見や属性ごとのデータ量の偏りが含まれていると、モデルがそのバイアスを学習してしまう場合がある。Explainabilityは判断根拠の説明、Robustnessは入力変化や攻撃への耐性、Privacyは個人情報の保護に関する概念であり、それぞれFairnessとは異なる。
426,AI倫理・AIガバナンス,ゲーム理論のシャープレイ値を利用して、各特徴量が予測結果へ与えた寄与を説明する手法は（　）である。,SHAP,LIME,PCA,Permutation Importance,SHAP（SHapley Additive exPlanations）は、協力ゲーム理論のシャープレイ値を機械学習モデルの説明へ応用した手法である。特徴量をゲームの参加者、モデルの予測を成果とみなし、さまざまな特徴量の組み合わせを考慮して各特徴量の寄与度を求める。LIMEは予測対象の周辺を単純なモデルで近似して局所的な説明を行う手法、Permutation Importanceは特徴量を入れ替えた際の性能低下から重要度を評価する方法であり、SHAPとは仕組みが異なる。
428,AIの社会実装に向けて,AI導入においてPoCでは成果が得られたものの、費用対効果や運用体制などの問題によって本番化できない状態は（　）である。,PoCの死の谷,モデルドリフト,AIの冬,シンギュラリティ,PoCの死の谷は、PoCによって技術的な成立性を確認できても、本番導入や事業化まで進めない状態を指す。原因には、費用対効果が見合わないこと、必要なデータを継続的に確保できないこと、既存システムとの連携が難しいこと、運用・保守体制が整っていないことなどがある。AIプロジェクトではPoCの精度だけでなく、本番で継続利用できるかという運用面・事業面の検討が重要である。
430,AIに関する法律と契約,AI開発契約では、責任分界とあわせて（　）を明確にすることが重要である。,データ利用範囲,モデルの学習速度,使用するGPUの性能,モデルのパラメータ数,AI開発契約では、学習データを誰がどの目的・範囲で利用できるか、再利用や第三者提供が可能かなどのデータ利用範囲を明確にすることが重要である。さらに、問題発生時の責任分界、成果物や学習済みモデルの権利、秘密保持、知的財産などについても整理する必要がある。AI開発では技術性能だけでなく、データや成果物をめぐる法的な権利・責任関係を事前に明確化することが重要となる。
431,AIに関する法律と契約,要配慮個人情報に該当するものは（　）である。,病歴,メールアドレス,勤務先の会社名,趣味,要配慮個人情報は、本人に対する不当な差別や偏見などの不利益が生じないよう、取扱いに特に配慮が必要とされる個人情報である。病歴のほか、人種、信条、社会的身分、犯罪の経歴、犯罪により害を被った事実などが含まれる。通常のメールアドレスや勤務先、趣味などは、それだけで直ちに要配慮個人情報に該当するものではない。要配慮個人情報の取得には、原則として本人の同意が必要となる。
432,人工知能とは,フレーム問題は、現実世界に存在する膨大な情報の中から関連情報と（　）を適切に選別することの困難さを指す。,不要な情報,記号の意味,正解ラベル,学習済みパラメータ,フレーム問題は、現実世界で何らかの行動や変化が起きたとき、膨大な事柄の中から何を考慮し、何を無視すべきかをAIが効率的に判断することの難しさを指す。すべての情報や可能性を逐一検討すると計算量が膨大になるため、問題に関連する情報と不要な情報を適切に区別する必要がある。記号と現実世界の意味を結びつける問題は記号接地問題であり、フレーム問題とは異なる。
435,ディープラーニングの要素技術,Attention機構では、QueryとKeyの類似度を計算し、正規化することで各Valueに対する（　）を求める。,Attention Weight,Similarity Score,Hidden State,Output Probability,Attentionでは、各トークンから得られるQueryとKeyの類似度を内積などによって計算し、その値をsoftmaxで正規化してAttention Weightを求める。この重みをValueに掛けて加重和を取ることで、各トークンが他のトークンの情報をどの程度参照するかを決定する。TransformerのScaled Dot-Product Attentionでは、QueryとKeyの内積をKeyの次元数の平方根で割ってからsoftmaxを適用する。勾配や損失値は学習時に使われる概念であり、QueryとKeyから直接求めるものではない。
436,ディープラーニングの要素技術,TransformerのSelf-AttentionがRNNの逐次処理と比べて学習を並列化しやすい主な理由は（　）である。,系列内の各トークン間の関係を一括して計算できること,過去の隠れ状態を順番に更新すること,局所的な範囲だけを畳み込みで処理すること,各トークンを他のトークンと無関係に処理すること,TransformerのSelf-Attentionは、系列内の各トークン同士の関係をまとめて計算できる。RNNでは前の時刻の隠れ状態を計算してから次の時刻へ進む必要があるため、系列方向の処理に逐次性がある。一方、Transformerでは学習時に複数のトークンを並列に処理しやすく、GPUなどの並列計算能力を活用しやすい。また、離れた位置にあるトークン間の依存関係も直接計算できる。ただし、Transformerを使えば必ず精度が高くなるわけではなく、長い系列ではSelf-Attentionの計算量やメモリ使用量が大きくなる課題もある。
