大分類,カテゴリ,項目No,項目名,キーワード,意味
技術分野,ディープラーニングの応用例,32,マルチモーダル,Unified-IO,画像テキストなど多様なモダリティとタスクを共通フォーマットで扱い一つのモデルで視覚と言語の幅広いタスクをこなせるようにした統一モデル
技術分野,ディープラーニングの応用例,32,マルチモーダル,Zero-shot,対象タスクやクラスに対して追加学習を行わず事前学習だけでそのまま汎用的に推論を行う設定
技術分野,ディープラーニングの応用例,32,マルチモーダル,基盤モデル,大規模データで事前学習され多様な下流タスクに微調整やプロンプト指定で転用される汎用的な大規模モデル
技術分野,ディープラーニングの応用例,32,マルチモーダル,マルチタスク学習,一つのモデルで複数種類のタスクを同時に学習しパラメータや表現を共有することで性能や汎用性を高める学習設定
技術分野,ディープラーニングの応用例,33,モデルの解釈性,CAM,クラスごとの重みを用いて畳み込み特徴マップを線形結合しどの領域がそのクラス判定に効いたかを可視化する手法
技術分野,ディープラーニングの応用例,33,モデルの解釈性,Grad-CAM,出力クラスの勾配情報を使って特徴マップの重要度を求めヒートマップとして入力画像上に重ねる可視化手法
技術分野,ディープラーニングの応用例,33,モデルの解釈性,LIME,入力周辺でデータを少しずつ変化させ予測結果の変化から局所的に単純な代理モデルを当てはめ特徴の重要度を説明する手法
技術分野,ディープラーニングの応用例,33,モデルの解釈性,Permutation Importance,ある特徴量の値をランダムに入れ替えたとき性能がどれだけ悪化するかでその特徴の重要度を測る方法
技術分野,ディープラーニングの応用例,33,モデルの解釈性,SHAP,協力ゲーム理論のシャープレイ値に基づき各特徴が予測にどれだけ貢献したかを公平に割り当てる説明手法
技術分野,ディープラーニングの応用例,33,モデルの解釈性,説明可能 AI (XAI),モデルの予測根拠や内部の判断過程を人間が理解しやすい形で説明できるようにする技術や研究分野の総称
技術分野,ディープラーニングの応用例,34,モデルの軽量化,エッジ AI,クラウドではなくスマホ組み込み機器センサ端末などエッジ側のデバイス上でAIモデルを動かすこと
技術分野,ディープラーニングの応用例,34,モデルの軽量化,蒸留,性能の高い教師モデルの出力や中間表現を利用してより小さい生徒モデルを学習させ知識を引き継がせる手法
技術分野,ディープラーニングの応用例,34,モデルの軽量化,宝くじ仮説,大きなニューラルネットの中には初期値のままでも単独で高性能を発揮しうる疎なサブネットワークが潜んでいるという仮説
技術分野,ディープラーニングの応用例,34,モデルの軽量化,プルーニング,予測にあまり寄与していない重みやニューロンチャネルなどを削除してモデルを小さくする手法
技術分野,ディープラーニングの応用例,34,モデルの軽量化,モデル圧縮,プルーニング量子化蒸留などを用いてモデルのサイズや計算量を削減しつつ性能低下を抑える技術全般
技術分野,ディープラーニングの応用例,34,モデルの軽量化,量子化,重みや活性値を三十二ビット浮動小数点などから八ビット整数などの低ビット表現に変換し計算やメモリを削減する手法
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,AI のビジネス活用,売上向上やコスト削減業務効率化新サービス創出などビジネス上の価値を生む目的でAIを企画導入運用すること
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,AI プロジェクトの進め方,課題整理からデータ準備モデル構築評価本番導入運用改善までの一連の流れや体制の作り方
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,BPR,ビジネスプロセスリエンジニアリングの略で業務プロセスを抜本的に見直し品質コストスピードを大きく改善しようとする取り組み
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,CRISP-DM,データマイニングプロジェクトの標準プロセスモデルでビジネス理解データ理解データ準備モデリング評価展開の六工程から構成される枠組み
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,CRISP-ML,CRISP-DMを機械学習システム向けに拡張し運用や品質管理なども含めてMLライフサイクル全体を整理したプロセスモデル
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,Docker,アプリケーションとその実行環境をコンテナとして打ち包んでどこでも同じ環境で動かせるようにする仮想化基盤ソフトウェア
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,Jupyter Notebook,ブラウザ上でコード実行結果図表テキストを一つのノートとして扱える対話型開発環境でPythonによるデータ分析や実験に広く使われる
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,MLOps,機械学習モデルの開発からデプロイ監視改善までを継続的に回すための仕組みや文化でDevOpsをMLに適用した考え方
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,PoC,概念実証の略で小さなスケールで試作や検証を行い技術的実現性やビジネス効果を確かめる段階の取り組み
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,Python,シンプルな文法と豊富なライブラリを持つ汎用プログラミング言語で機械学習やデータ分析で事実上の標準となっている言語
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,Web API,HTTPなどのウェブプロトコルを通じて機能やデータを外部プログラムから呼び出せるようにしたインターフェース
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,アジャイル,短いサイクルで設計開発テストを繰り返しフィードバックを受けて柔軟に仕様変更しながら進める開発手法
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,ウォーターフォール,要件定義設計実装テストなどを上流から下流へ段階的に一方向に進めていく従来型の開発手法
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,オープン・イノベーション,自社だけでなく他社大学顧客など外部の知識や技術を積極的に取り込みながらイノベーションを起こそうとする考え方
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,クラウド,インターネット越しにサーバストレージAIサービスなどの計算資源を必要に応じて利用できる形態
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,産学連携,企業と大学や研究機関が共同研究人材交流技術移転などを通じて新しい知見や技術を社会実装につなげる取り組み
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,ステークホルダーのニーズ,顧客利用者現場担当経営層などプロジェクトに関わる利害関係者が本当に望んでいる価値や要望期待
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,データサイエンティスト,ビジネス課題を理解し統計や機械学習を用いてデータから価値ある示唆やモデルを作り出す専門人材
技術分野,AI の社会実装に向けて,35,AI プロジェクトの進め方,他企業や他業種との連携,自社とは異なる企業や業界と協力しデータ技術ノウハウを持ち寄ることで新しいAIサービスやビジネスを共創すること
技術分野,AI の社会実装に向けて,36,データの収集・加工・分析・学習,アノテーション,画像や音声テキストなどのデータにラベルや境界ボックスタグ属性情報などを付与して学習や分析で使える形にする作業
技術分野,AI の社会実装に向けて,36,データの収集・加工・分析・学習,オープンデータセット,研究教育商用利用などのために一般に公開され一定の条件の下で自由に利用できるデータセット
技術分野,AI の社会実装に向けて,36,データの収集・加工・分析・学習,コーパス,言語研究や自然言語処理のために集められた大量の文章や発話データの集合
技術分野,AI の社会実装に向けて,36,データの収集・加工・分析・学習,データリーケージ,本来分離すべき学習データと評価データの間で情報が漏れ将来の情報を見ながらモデルを学習してしまうことで性能評価が実力以上に良く見えてしまう問題
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,移動平均,一定期間のデータの平均を順番に計算して並べることで短期的な変動をならし傾向を見やすくする方法
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,確率分布,確率変数がそれぞれの値を取る可能性がどのように割り当てられているかを表すルールや関数
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,確率変数,サイコロの目など偶然によって値が決まる量を数学的に表す変数
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,確率密度,連続値を取る確率変数について各値の周辺の起こりやすさを表す関数で区間に渡って積分するとその区間の確率になるもの
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,疑似相関,実際には因果関係がないのに第三の要因や集計の方法などの影響で相関があるように見えてしまう関係
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,期待値,確率変数を無限に繰り返し観測したときの平均に相当する理論上の平均値
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,帰無仮説,差はない効果はないなど統計的検定で最初に仮定しておき棄却できるかを調べる基準となる仮説
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,共分散,二つの変数が平均からのずれにおいて一緒に大きくなったり小さくなったりする程度を表す指標
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,コサイン類似度,ベクトル同士のなす角度のコサイン値で表す類似度で一に近いほど向きが似ていることを示す指標
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,最小二乗法,観測値とモデルによる予測値との差の二乗和が最も小さくなるようにパラメータを求めるあてはめ方法
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,最頻値,データの中で最も多く出現する値で度数が最大となる値
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,最尤法,観測データが得られる確率が最も大きくなるように分布のパラメータを推定する方法
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,条件付き確率,ある事象が起こったという条件のもとで別の事象が起こる確率を表すもの
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,正規分布,平均の付近の値が出やすく離れるほど出にくくなる連続分布で釣鐘型の形を持つ代表的な確率分布
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,相関係数,二つの変数の線形的な関係の強さと向きをマイナス一からプラス一の間の値で表した指標
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,相互情報量,ある変数の値を知ることで別の変数に関する不確実性がどれだけ減るかを情報量で表した指標
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,対立仮説,帰無仮説が正しくない場合に成り立つと考える仮説で差がある効果があるなどを表す仮説
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,中央値,データを小さい順に並べたときちょうど真ん中に位置する値で半分がそれ以下半分がそれ以上となる境界の値
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,度数分布,データをいくつかの階級や値ごとに分け各区間にいくつのデータが含まれるかを整理した一覧
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,二項分布,独立な試行を同じ条件で一定回数繰り返したとき成功回数がいくつになるかの確率分布
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,外れ値,他の多くのデータと比べて極端に離れた位置にある観測値で測定ミスや特異な事象を反映している可能性があるもの
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,標準偏差,データが平均の周りにどの程度散らばっているかを表す指標で分散の平方根にあたる値
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,平均,データの総和を個数で割った値で代表値として最もよく用いられる中心的な値
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,分散,各データの平均からのずれを二乗して平均した値でデータのばらつき具合を表す指標
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,偏相関係数,他の変数の影響を取り除いた上で二つの変数の間にどの程度の線形関係が残るかを表す相関の指標
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,ベルヌーイ分布,一回の試行で成功か失敗か二通りの結果だけを取る確率変数の分布で成功確率を一つのパラメータで表すもの
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,ポアソン分布,一定時間や一定領域内でまれな事象が何回起こるかを表す離散分布で平均回数の一つのパラメータで決まるもの
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,マハラノビス距離,データの分散や変数間の相関を考慮して正規化した距離で外れ値検出などに用いられる距離尺度
技術分野,AI に必要な数理・統計知識,37,AI に必要な数理・統計知識,ユークリッド距離,二点間の直線距離をピタゴラスの定理で計算したもので最も基本的な距離の定義
法律・倫理分野,AIに関する法律と契約,1,個人情報保護法,GDPR,EU域内の個人データ保護を包括的に定めた一般データ保護規則で日本の個人情報保護法にも影響を与えている規制
法律・倫理分野,AIに関する法律と契約,1,個人情報保護法,仮名加工情報,他の情報と照合しない限り特定の個人を識別できないように加工した個人に関する情報で元データを保持する事業者では個人情報と扱われる情報
法律・倫理分野,AIに関する法律と契約,1,個人情報保護法,個人識別符号,運転免許証番号顔認証用データなど個人を一意に識別できる符号で単体でも個人情報となるもの
法律・倫理分野,AIに関する法律と契約,1,個人情報保護法,個人データ,電子計算機で検索できるなど検索性を持つ形で体系的に構成された個人情報の集合
法律・倫理分野,AIに関する法律と契約,1,個人情報保護法,個人情報,生存する個人に関する情報で氏名番号画像などにより特定の個人を識別できるものや個人識別符号を含む情報
法律・倫理分野,AIに関する法律と契約,1,個人情報保護法,第三者提供,本人以外の第三者に個人データを提供することをいい原則として本人同意や一定の手続きが求められる行為
法律・倫理分野,AIに関する法律と契約,1,個人情報保護法,匿名加工情報,特定の個人を識別できず元の個人情報にも復元できないように加工された個人に関する情報で個人情報には当たらない情報
法律・倫理分野,AIに関する法律と契約,1,個人情報保護法,保有個人データ,本人からの開示訂正利用停止請求などの対象となる事業者が自ら開示等の権限を持って継続的に管理している個人データ
法律・倫理分野,AIに関する法律と契約,1,個人情報保護法,要配慮個人情報,人種信条病歴犯罪歴等不当な差別偏見が生じうるセンシティブな情報で原則として本人同意なく取得できない個人情報
法律・倫理分野,AIに関する法律と契約,1,個人情報保護法,利用目的,個人情報をどの範囲どの目的で利用するかについて事業者が特定し本人に通知又は公表しなければならない目的
法律・倫理分野,AIに関する法律と契約,1,個人情報保護法,委託,個人データの取り扱いを他の事業者に業務として任せることで第三者提供とは区別されるが適切な監督義務が課される形態
法律・倫理分野,AIに関する法律と契約,2,著作権法,創作性,作者の個性や工夫が表れていることを指し著作物と認められるために必要な最低限のオリジナリティ
法律・倫理分野,AIに関する法律と契約,2,著作権法,著作物,思想又は感情を創作的に表現したもので文学音楽美術プログラムなど形態を問わず著作権法で保護される対象
法律・倫理分野,AIに関する法律と契約,2,著作権法,AI 生成物,画像や文章などAIが生成したコンテンツで人の創作性がどこまで認められるかが著作権上の論点となる成果物
法律・倫理分野,AIに関する法律と契約,2,著作権法,利用規約,サービスやコンテンツの利用条件権利義務範囲などを定めた契約文書で著作物やデータの利用許諾条件も含まれる
法律・倫理分野,AIに関する法律と契約,2,著作権法,著作権侵害,著作権者の許諾なく複製公衆送信翻案などの権利を侵す行為
法律・倫理分野,AIに関する法律と契約,2,著作権法,著作権,著作物を一定期間独占的に利用できる権利の総称で複製権公衆送信権などの財産権や著作者人格権からなる
法律・倫理分野,AIに関する法律と契約,3,特許法,発明,自然法則を利用した技術的思想の創作で高度のものを指し特許保護の対象となる技術
法律・倫理分野,AIに関する法律と契約,3,特許法,新規性,出願時点でその発明が公知公用刊行物記載など既に知られていないことという特許要件
法律・倫理分野,AIに関する法律と契約,3,特許法,進歩性,当業者が既存技術から容易に考え付かない程度に発明が進んでいることという特許要件
法律・倫理分野,AIに関する法律と契約,3,特許法,知的財産権,特許著作権商標権など知的創作物や営業上の標識に対する排他的権利の総称
法律・倫理分野,AIに関する法律と契約,3,特許法,発明者,発明の具体的な着想と完成に創作的に寄与した自然人で特許出願において記載される者
法律・倫理分野,AIに関する法律と契約,3,特許法,職務発明,従業員等が職務上行った発明で一定条件の下で会社に特許を受ける権利が帰属する発明
法律・倫理分野,AIに関する法律と契約,3,特許法,特許権,特許発明を一定期間独占的に実施できる権利で他人の実施を排除しライセンスなどで収益化できる権利
法律・倫理分野,AIに関する法律と契約,4,不正競争防止法,営業秘密,秘密管理性有用性非公知性を満たす技術上営業上の情報で不正取得や開示が禁止される情報
法律・倫理分野,AIに関する法律と契約,4,不正競争防止法,限定提供データ,事業者が特定の者に対して電磁的に蓄積管理し対価を得て提供する技術上営業上の情報で不正取得等が不正競争とされるデータ
法律・倫理分野,AIに関する法律と契約,5,独占禁止法,競争制限,価格協定カルテル排他的取引など市場の競争を不当に弱める行為全般
法律・倫理分野,AIに関する法律と契約,5,独占禁止法,公正競争阻害性,取引慣行や契約が市場における公正な競争を阻害する程度の強さがあるかどうかという観点
法律・倫理分野,AIに関する法律と契約,6,AI開発委託契約,AI・データの利用に関する契約ガイドライン,経産省が公表したAIやデータ利用契約の論点と条項例を整理したガイドラインで契約締結時の参考資料
法律・倫理分野,AIに関する法律と契約,6,AI開発委託契約,NDA,Non-Disclosure Agreementの略で開発過程などで知り得た秘密情報を第三者に漏らさないことを約束する秘密保持契約
法律・倫理分野,AIに関する法律と契約,6,AI開発委託契約,請負契約,成果物の完成を約束し完成した成果物に対して報酬を支払う形態の契約
法律・倫理分野,AIに関する法律と契約,6,AI開発委託契約,準委任契約,一定の作業や役務の遂行そのものを目的とし結果の完成までは保証しない業務委託契約形態
法律・倫理分野,AIに関する法律と契約,6,AI開発委託契約,精度保証,AIモデルの性能指標などについて契約上どの程度まで達成を保証するかを定めること
法律・倫理分野,AIに関する法律と契約,6,AI開発委託契約,PoC,AI導入前に小規模実験で技術的実現性や効果を確認する概念実証フェーズ
法律・倫理分野,AIに関する法律と契約,6,AI開発委託契約,保守契約,導入後のシステムについて障害対応アップデート改善など継続的な維持運用を行うことを定めた契約
法律・倫理分野,AIに関する法律と契約,7,AIサービス提供契約,SaaS,Software as a Serviceの略でソフトウェア機能をクラウド経由のサービスとして提供する形態
法律・倫理分野,AIに関する法律と契約,7,AIサービス提供契約,データ利用権,サービス提供者や利用者がどの範囲でデータを利用二次利用できるかを契約上定めた権利
法律・倫理分野,AIに関する法律と契約,7,AIサービス提供契約,利用規約,AIサービスの利用条件料金責任範囲データの取り扱いなどを規定する契約文書
法律・倫理分野,AIに関する法律と契約,7,AIサービス提供契約,精度保証,クラウド上のAI機能について一定の性能水準やサービスレベルを契約上どこまで約束するかという取り決め
法律・倫理分野,AI倫理・AIガバナンス,8,国内外のガイドライン,AI 倫理,AIの開発利用において人権尊重公平性透明性などを守るべき価値や原則に関する考え方
法律・倫理分野,AI倫理・AIガバナンス,8,国内外のガイドライン,AI ガバナンス,AIシステムが倫理的安全かつ法令に沿って運用されるよう方針体制プロセスを整備し管理する枠組み
法律・倫理分野,AI倫理・AIガバナンス,8,国内外のガイドライン,価値原則,人間の尊厳プライバシー公平性などAIに関する諸ガイドラインで示される基本的な価値と原則
法律・倫理分野,AI倫理・AIガバナンス,8,国内外のガイドライン,ハードロー,罰則や強制力を持つ法律規制など法的拘束力のあるルール
法律・倫理分野,AI倫理・AIガバナンス,8,国内外のガイドライン,ソフトロー,法的拘束力は弱いがガイドライン指針業界ルールなど事実上守ることが期待される規範
法律・倫理分野,AI倫理・AIガバナンス,8,国内外のガイドライン,リスクベースアプローチ,AIシステムのリスクの大きさに応じて規制や管理の厳しさを変える考え方
法律・倫理分野,AI倫理・AIガバナンス,9,プライバシー,カメラ画像利活用ガイドブック,カメラ映像の利活用におけるプライバシー配慮や法令対応のポイントを整理した政府等の解説資料
法律・倫理分野,AI倫理・AIガバナンス,9,プライバシー,プライバシー・バイ・デザイン,システムやサービスを企画設計する初期段階からプライバシー保護を組み込む設計思想
法律・倫理分野,AI倫理・AIガバナンス,10,公平性,アルゴリズムバイアス,学習データや設計の偏りにより特定の属性の人々に不利有利な結果を生むアルゴリズム上の偏り
法律・倫理分野,AI倫理・AIガバナンス,10,公平性,公平性の定義,AIを用いた意思決定が特定のグループを不当に差別優遇しないことを数理的又は倫理的にどう表すかという考え方
法律・倫理分野,AI倫理・AIガバナンス,10,公平性,サンプリングバイアス,収集されたデータが母集団を偏って代表してしまい結果が歪む偏り
法律・倫理分野,AI倫理・AIガバナンス,10,公平性,センシティブ属性,人種性別宗教障害の有無など差別につながりうるため慎重な扱いが必要な属性情報
法律・倫理分野,AI倫理・AIガバナンス,10,公平性,代理変数,センシティブ属性そのものではないが強く相関し同様の差別効果を生みうる別の変数
法律・倫理分野,AI倫理・AIガバナンス,10,公平性,データの偏り,収集方法やラベリングなどの影響である方向に片寄ったデータとなっている状態
法律・倫理分野,AI倫理・AIガバナンス,11,安全性とセキュリティ,Adversarial Attack (Adversarial Examples),わずかなノイズを加えただけでモデルに誤分類させるような入力を作り出しシステムを欺く攻撃
法律・倫理分野,AI倫理・AIガバナンス,11,安全性とセキュリティ,セキュリティ・バイ・デザイン,システム設計の初期段階からセキュリティ対策を組み込む設計思想
法律・倫理分野,AI倫理・AIガバナンス,11,安全性とセキュリティ,データ汚染,学習データに悪意あるデータや誤ったラベルを混入させモデルの性能や振る舞いを意図的に劣化させる行為
法律・倫理分野,AI倫理・AIガバナンス,11,安全性とセキュリティ,データ窃取,システムが保有する学習データや入力情報を不正アクセスなどにより盗み出すこと
法律・倫理分野,AI倫理・AIガバナンス,11,安全性とセキュリティ,モデル窃取,ブラックボックスへの問い合わせ結果などから内部のモデル構造やパラメータを推定し模倣モデルを作る攻撃
法律・倫理分野,AI倫理・AIガバナンス,11,安全性とセキュリティ,モデル汚染,学習や更新の過程で悪意あるデータやパラメータ改変を行いモデルの出力を意図的に歪めること
法律・倫理分野,AI倫理・AIガバナンス,12,悪用,ディープフェイク,ディープラーニングを用いて他人の顔や声を本物のように合成し偽動画や偽音声を作る技術
法律・倫理分野,AI倫理・AIガバナンス,12,悪用,フェイクニュース,虚偽や誤解を招く情報をニュース形式で流し世論操作や混乱を招く行為やコンテンツ
法律・倫理分野,AI倫理・AIガバナンス,13,透明性,データの来歴,データがどこからどのように収集され加工されてきたかという履歴情報
法律・倫理分野,AI倫理・AIガバナンス,13,透明性,説明可能性,モデルの判断理由や根拠を人間が理解できる形で説明できる性質
法律・倫理分野,AI倫理・AIガバナンス,13,透明性,ブラックボックス,内部構造や判断過程が複雑でどのように結論に至ったかが外部から理解しづらいシステム
法律・倫理分野,AI倫理・AIガバナンス,14,民主主義,エコーチェンバー,似た意見だけが集まる空間で同じ主張が反響し続け極端な考えが強化される情報環境
法律・倫理分野,AI倫理・AIガバナンス,14,民主主義,フィルターバブル,レコメンドや検索パーソナライズにより自分の好みや信念に合う情報だけが届き他の視点に触れにくくなる状態
法律・倫理分野,AI倫理・AIガバナンス,14,民主主義,フェイクニュース,オンライン上で拡散され世論や選挙など民主主義プロセスに影響を与えうる虚偽情報
法律・倫理分野,AI倫理・AIガバナンス,15,環境保護,気候変動,温室効果ガス増加などにより地球の平均気温が長期的に変化し極端気象や生態系への影響が生じる現象
法律・倫理分野,AI倫理・AIガバナンス,15,環境保護,モデル学習の電力消費,大規模モデルの学習や推論に伴う電力使用量でCO2排出など環境負荷につながる要素
法律・倫理分野,AI倫理・AIガバナンス,16,労働政策,AI との協働,人間がAIを道具やパートナーとして活用し役割分担しながら業務を行う働き方
法律・倫理分野,AI倫理・AIガバナンス,16,労働政策,スキルの喪失,AIや自動化の進展により人間が従来行っていた作業をしなくなることで技能や経験が失われる懸念
法律・倫理分野,AI倫理・AIガバナンス,16,労働政策,労働力不足,少子高齢化などで働き手が不足する状況でAIやロボット導入の背景ともなる社会課題
法律・倫理分野,AI倫理・AIガバナンス,17,その他の重要な価値,インクルージョン,年齢性別障害の有無などに関わらず多様な人々が排除されず参加できるよう配慮する考え方
法律・倫理分野,AI倫理・AIガバナンス,17,その他の重要な価値,軍事利用,AI技術が兵器指揮統制サイバー攻撃など軍事目的に使われることに伴う倫理的問題
法律・倫理分野,AI倫理・AIガバナンス,17,その他の重要な価値,死者への敬意,亡くなった人の顔声データなどをAIで扱う際に遺族感情や社会通念に配慮し尊厳を損なわないようにすること
法律・倫理分野,AI倫理・AIガバナンス,17,その他の重要な価値,人間の自律性,AIによる自動意思決定が人間の主体的な選択や決定権を過度に奪わないようにするという価値
法律・倫理分野,AI倫理・AIガバナンス,18,AIガバナンス,AI ポリシー,組織としてAIの利用範囲ルール禁止事項責任分担等を定めた内部方針やガイドライン
法律・倫理分野,AI倫理・AIガバナンス,18,AIガバナンス,ダイバーシティ,性別国籍専門性など多様な背景を持つ人材をチームに含め偏りの少ないAI開発運用を目指す考え方
法律・倫理分野,AI倫理・AIガバナンス,18,AIガバナンス,AI に対する監査,AIシステムが法令倫理基準内部ルールに沿って設計運用されているか第三者的立場で検証評価するプロセス
法律・倫理分野,AI倫理・AIガバナンス,18,AIガバナンス,倫理アセスメント,AIプロジェクトの企画設計段階で人権プライバシー公平性などへの影響を評価しリスク対策を検討する手続き
法律・倫理分野,AI倫理・AIガバナンス,18,AIガバナンス,人間の関与,重要な判断やリスクの高い場面では人が最終判断や監視を行うようAIシステムに組み込むこと
法律・倫理分野,AI倫理・AIガバナンス,18,AIガバナンス,モニタリング,AIモデルの性能やバイアス不具合などを運用中も継続的に監視し必要に応じて対応する活動
法律・倫理分野,AI倫理・AIガバナンス,18,AIガバナンス,再現性,同じデータと手順を用いれば他者が同等の結果を再度得られる性質で検証可能性の前提となる性質
法律・倫理分野,AI倫理・AIガバナンス,18,AIガバナンス,トレーサビリティ,データ処理やモデル更新の履歴を追跡可能にして後から原因分析や説明ができるようにする性質
